Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential
Raphael Veiga,1995-06-19,CampeonatoBrasileiro,Palmeiras,Left,Brazil,Att Mid / Wingers,2478,0.4,0.11,0.51,0.29,0.11,0.15,0.11,0.04,0.39,0.28,0.26,0.53,2.07,6.1,4.5,3.34,1.13,33.7,0.09,0.26,23.0,0.69,0.08,0.01,0.01,32.87,43.84,75.0,607.63,201.28,15.73,17.18,91.5,10.79,13.04,82.7,5.38,11.08,48.5,0.2,3.09,4.76,1.23,0.36,34.69,8.5,2.32,0.22,0.8,7.59,0.36,4.87,2.69,1.45,0.07,0.65,0.65,5.63,3.38,1.56,0.15,0.33,0.18,0.04,0.33,0.15,0.04,0.0,0.04,0.11,0.0,0.65,0.44,0.15,0.44,0.07,0.15,0.76,19.0,0.62,0.62,0.18,0.36,1.02,0.47,0.0,53.32,0.4,3.56,26.84,23.39,2.47,53.17,1.53,0.73,47.6,0.54,35.7,28.44,136.2,71.84,1.49,0.25,1.6,0.87,35.77,0.0,0.65,1.6,0.15,0.0,0.0,0.0,2.76,0.58,0.87,40.0,1718,30.0,78.53063642676628,78.53063642676628
Giorgian De Arrascaeta,1994-06-01,CampeonatoBrasileiro,Flamengo,Right,Uruguay,Att Mid / Wingers,1007,0.45,0.45,0.89,0.45,0.0,0.0,0.18,0.0,0.2,0.2,0.24,0.43,1.7,7.15,8.13,2.06,1.07,52.2,0.22,0.42,18.4,0.0,0.1,0.25,0.25,44.33,57.2,77.5,672.54,190.99,23.59,26.37,89.5,15.1,19.39,77.9,3.31,7.33,45.1,0.27,2.41,4.38,2.68,0.45,49.69,7.42,3.13,0.54,0.09,5.63,0.18,3.31,1.43,0.8,0.27,0.09,0.89,5.09,3.31,0.8,0.36,0.18,0.27,0.18,1.07,0.72,0.0,0.18,0.18,0.0,0.0,1.43,1.07,0.27,0.54,0.63,0.63,2.23,28.0,1.61,1.16,0.09,0.36,1.79,0.27,0.0,66.85,0.45,3.93,29.85,33.69,3.58,66.85,2.95,1.61,54.5,0.89,30.3,38.43,190.99,86.25,1.97,0.72,2.06,1.88,51.03,0.0,0.98,2.59,0.18,0.09,0.0,0.0,4.11,0.54,0.8,40.0,1683,31.0,79.1745080954827,79.1745080954827
Gerson,1997-05-20,CampeonatoBrasileiro,Flamengo,Left,Brazil,Att Mid / Wingers,2457,0.11,0.22,0.33,0.11,0.0,0.0,0.11,0.0,0.08,0.08,0.14,0.22,2.6,6.63,6.81,1.43,0.48,33.3,0.08,0.23,19.5,0.0,0.06,0.03,0.03,43.96,51.9,84.7,670.44,166.37,23.11,25.2,91.7,15.6,17.84,87.5,2.67,4.18,64.0,0.16,1.5,4.03,1.98,0.18,49.56,2.2,0.95,0.15,0.37,1.28,0.73,0.51,0.07,0.04,0.04,0.15,1.54,4.07,3.3,0.18,0.11,0.18,0.22,0.07,0.59,0.37,0.07,0.0,0.04,0.11,0.0,2.09,1.39,0.99,0.7,0.4,0.62,1.32,47.2,0.7,0.84,0.18,0.18,2.27,0.7,0.0,61.9,1.21,7.33,29.78,25.35,3.04,61.9,2.93,1.32,45.0,1.32,45.0,38.83,228.28,105.16,2.12,1.03,1.25,1.28,46.81,0.0,0.99,2.34,0.22,0.04,0.0,0.0,5.02,1.06,1.17,47.5,1683,28.0,77.45428173276338,77.45428173276338
Bruno Henrique,1990-12-30,CampeonatoBrasileiro,Flamengo,Both,Brazil,Att Mid / Wingers,2070,0.26,0.04,0.3,0.22,0.04,0.04,0.26,0.0,0.28,0.25,0.08,0.33,3.04,2.7,7.26,2.26,0.83,36.5,0.1,0.26,17.2,0.0,0.11,-0.02,-0.03,18.35,24.48,75.0,257.17,65.65,11.04,13.22,83.6,6.3,7.7,81.9,0.57,1.26,44.8,0.1,0.96,0.96,1.0,0.17,23.35,1.09,0.17,0.04,0.04,1.04,0.3,0.04,0.0,0.0,0.04,0.04,1.0,2.57,1.78,0.0,0.22,0.26,0.3,0.0,0.35,0.13,0.0,0.0,0.09,0.13,0.0,1.3,0.7,0.39,0.61,0.3,0.35,1.0,34.8,0.65,1.0,0.0,0.52,1.83,0.83,0.0,36.7,0.96,3.48,14.57,19.48,4.26,36.65,2.7,0.87,32.3,1.43,53.2,22.13,145.57,90.09,2.17,1.22,2.22,1.09,26.87,0.0,1.91,2.48,0.48,0.09,0.0,0.0,3.57,1.87,1.83,50.6,1683,34.0,75.78114228999385,75.78114228999385
Everton Soares,1996-03-22,CampeonatoBrasileiro,Flamengo,Right,Brazil,Att Mid / Wingers,537,0.17,0.34,0.5,0.17,0.0,0.0,0.17,0.0,0.15,0.15,0.2,0.35,3.85,2.51,9.05,3.35,1.68,50.0,0.05,0.1,22.3,0.17,0.05,0.02,0.02,17.77,24.3,73.1,253.07,70.39,10.56,12.07,87.5,4.69,7.04,66.7,1.51,2.68,56.3,0.18,0.67,1.17,0.84,0.0,22.63,1.68,0.17,0.17,0.0,2.68,0.34,1.17,0.67,0.17,0.0,0.0,1.51,2.18,1.51,0.17,0.34,0.0,0.17,0.0,0.5,0.17,0.17,0.0,0.0,0.17,0.0,1.51,1.01,0.17,0.84,0.5,0.17,1.01,16.7,0.84,1.68,0.0,0.34,1.84,0.84,0.0,37.54,0.67,3.35,12.07,22.79,4.36,37.54,6.87,2.85,41.5,3.18,46.3,25.31,201.12,97.37,2.01,1.84,1.17,2.35,27.82,0.0,0.84,1.17,0.34,0.17,0.0,0.0,3.35,0.67,1.51,30.8,1683,29.0,64.70015168822061,64.70015168822061
Michael,1996-03-12,CampeonatoBrasileiro,Flamengo,Right,Brazil,Att Mid / Wingers,653,0.55,0.14,0.69,0.55,0.0,0.0,0.0,0.0,0.5,0.5,0.21,0.7,3.45,2.62,14.33,2.34,1.52,64.7,0.24,0.36,10.3,0.0,0.21,0.06,0.06,22.05,30.32,72.7,302.94,51.96,13.37,15.44,86.6,6.75,9.65,70.0,0.83,1.65,50.0,0.17,1.65,0.69,1.65,0.41,29.77,0.14,0.0,0.0,0.0,2.21,0.14,0.0,0.0,0.0,0.0,0.41,1.52,3.45,2.62,0.0,0.41,0.28,0.14,0.0,0.55,0.28,0.0,0.14,0.0,0.14,0.0,1.24,0.83,0.14,0.41,0.69,0.41,1.24,33.3,0.83,0.69,0.0,0.28,1.52,0.69,0.0,41.76,0.41,2.48,10.47,29.36,8.13,41.76,3.45,0.96,28.0,2.34,68.0,27.29,169.66,91.79,1.93,1.65,2.07,0.83,32.25,0.0,0.28,0.83,0.14,0.14,0.0,0.0,1.93,0.55,0.69,44.4,1683,29.0,69.88339490674858,69.88339490674858
Luiz Araújo,1996-06-02,CampeonatoBrasileiro,Flamengo,Left,Brazil,Att Mid / Wingers,1566,0.23,0.29,0.52,0.23,0.0,0.0,0.17,0.0,0.18,0.18,0.26,0.44,3.1,4.25,7.24,3.05,0.98,32.1,0.08,0.24,20.9,0.06,0.06,0.05,0.05,27.41,37.76,72.6,490.11,125.29,13.05,15.11,86.3,9.43,12.3,76.6,3.68,6.09,60.4,0.24,1.95,2.13,1.09,0.29,33.62,4.02,1.21,0.0,1.03,5.06,0.4,2.41,0.98,0.75,0.06,0.11,1.84,3.97,2.36,0.75,0.29,0.34,0.11,0.11,0.57,0.23,0.17,0.06,0.06,0.06,0.0,2.13,1.44,0.8,0.86,0.46,0.75,1.67,44.8,0.92,1.44,0.17,1.15,3.28,0.8,0.0,51.15,0.69,6.32,20.92,25.17,3.22,51.15,3.62,2.18,60.3,1.21,33.3,30.57,187.24,97.76,2.18,0.98,2.07,1.44,33.79,0.0,1.32,1.72,0.11,0.0,0.0,0.0,4.66,0.29,1.03,21.7,1683,29.0,75.91978856360214,75.91978856360214
Gonzalo Plata,2000-11-01,CampeonatoBrasileiro,Flamengo,Left,Ecuador,Att Mid / Wingers,684,0.13,0.0,0.13,0.13,0.0,0.0,0.13,0.0,0.21,0.21,0.25,0.46,3.29,3.55,8.95,1.71,0.53,30.8,0.08,0.25,15.7,0.0,0.12,-0.08,-0.08,31.71,38.95,81.4,419.47,99.21,20.39,22.76,89.6,8.29,10.13,81.8,1.32,1.97,66.7,0.18,2.63,1.45,1.84,0.39,36.97,1.71,0.26,0.13,0.13,1.32,0.66,0.66,0.39,0.0,0.0,0.26,1.97,5.13,3.95,0.26,0.39,0.39,0.13,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,1.84,1.58,0.92,0.53,0.39,0.53,2.24,23.5,1.71,1.45,0.13,0.53,2.37,0.39,0.0,51.45,0.66,5.0,16.18,30.79,5.13,51.45,4.61,2.11,45.7,2.37,51.4,30.26,189.34,89.47,1.97,1.58,1.97,1.18,38.03,0.0,1.58,0.92,0.26,0.0,0.0,0.0,3.42,1.18,2.11,36.0,1683,25.0,71.50395444367058,71.50395444367058
Wanderson,1994-10-07,CampeonatoBrasileiro,Cruzeiro,Right,Brazil,Att Mid / Wingers,1015,0.18,0.18,0.35,0.18,0.0,0.0,0.27,0.0,0.21,0.21,0.22,0.43,2.57,2.93,6.47,1.95,0.89,45.5,0.09,0.2,20.2,0.0,0.11,-0.04,-0.04,23.85,30.68,77.7,350.42,91.24,14.1,15.52,90.9,7.8,10.29,75.9,1.15,2.31,50.0,0.22,1.68,1.51,1.15,0.53,28.64,1.95,0.27,0.09,0.0,4.43,0.89,0.8,0.35,0.35,0.0,0.09,1.15,3.9,2.93,0.35,0.27,0.27,0.09,0.0,0.18,0.09,0.09,0.0,0.0,0.0,0.0,0.89,0.44,0.18,0.53,0.18,0.35,1.06,33.3,0.71,0.8,0.0,0.62,1.51,0.62,0.0,41.5,0.53,4.52,17.11,21.01,3.37,41.5,3.37,1.77,52.6,1.42,42.1,25.54,179.11,80.51,1.95,0.71,2.22,1.51,28.11,0.0,1.24,1.06,0.18,0.0,0.0,0.0,3.9,0.09,0.71,11.1,1550,31.0,70.8727818948158,70.8727818948158
Christian,2000-12-19,CampeonatoBrasileiro,Cruzeiro,Right,Brazil,Att Mid / Wingers,1507,0.06,0.0,0.06,0.06,0.0,0.0,0.42,0.0,0.11,0.11,0.11,0.22,0.9,3.46,6.09,1.49,0.42,28.0,0.04,0.14,16.1,0.0,0.07,-0.05,-0.05,24.07,30.28,79.5,376.3,101.17,12.54,14.27,87.9,9.2,10.87,84.6,1.73,2.99,58.0,0.05,0.84,2.21,0.66,0.12,29.5,0.72,0.12,0.18,0.24,1.67,0.18,0.36,0.0,0.36,0.0,0.06,0.96,2.51,1.73,0.12,0.0,0.3,0.3,0.06,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.61,0.9,0.66,0.84,0.12,0.54,1.19,45.0,0.66,0.9,0.24,0.72,2.33,0.66,0.0,39.65,0.54,5.14,19.35,15.41,2.69,39.65,1.43,0.54,37.5,0.72,50.0,23.05,103.14,41.09,0.78,0.18,1.79,0.54,27.11,0.0,2.21,1.67,0.18,0.0,0.0,0.0,2.69,0.9,1.08,45.5,1550,24.0,70.42949409347713,70.42949409347713
Matheus Pereira,1996-05-05,CampeonatoBrasileiro,Cruzeiro,Left,Brazil,Att Mid / Wingers,2823,0.26,0.22,0.48,0.26,0.0,0.0,0.35,0.03,0.17,0.17,0.18,0.35,2.84,7.14,5.58,2.14,0.7,32.8,0.12,0.36,21.0,0.13,0.08,0.09,0.09,41.03,53.56,76.6,607.11,208.21,24.23,26.78,90.5,12.21,15.81,77.2,2.71,7.21,37.6,0.19,2.45,5.01,2.45,0.22,46.32,7.14,2.36,0.35,0.48,5.45,0.7,2.87,0.99,1.31,0.1,0.1,0.89,5.04,3.7,0.7,0.26,0.1,0.26,0.03,0.61,0.48,0.0,0.1,0.03,0.0,0.0,0.67,0.48,0.22,0.32,0.13,0.35,1.02,34.4,0.67,0.61,0.13,0.26,0.92,0.16,0.0,61.79,0.38,4.5,30.86,27.07,2.42,61.79,2.58,1.21,46.9,1.05,40.7,39.44,217.62,104.57,2.74,0.38,2.33,0.99,47.95,0.03,1.05,3.12,0.26,0.0,0.0,0.0,3.63,0.35,0.86,28.9,1550,29.0,73.44889414366673,73.44889414366673
Dudu,1992-01-07,CampeonatoBrasileiro,Atlético Mineiro,Right,Brazil,Att Mid / Wingers,548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,5.75,4.27,12.48,2.3,0.99,42.9,0.0,0.0,20.0,0.0,0.09,-0.2,-0.2,29.07,42.54,68.3,447.87,129.09,17.74,22.17,80.0,8.87,13.14,67.5,1.97,4.6,42.9,0.18,1.48,2.79,1.15,0.49,39.09,3.28,0.82,0.33,0.0,4.93,0.99,1.31,0.33,0.49,0.0,0.16,1.81,5.42,3.61,0.33,0.49,0.16,0.66,0.16,0.33,0.0,0.0,0.0,0.16,0.16,0.0,0.82,0.66,0.16,0.49,0.16,0.33,0.82,40.0,0.49,0.0,0.0,0.49,1.31,0.33,0.0,56.0,0.33,4.93,21.02,30.71,4.6,56.0,6.08,2.14,35.1,2.63,43.2,36.3,286.42,151.59,3.61,1.15,2.3,1.15,40.73,0.0,0.66,3.61,0.33,0.16,0.0,0.0,5.09,0.33,0.82,28.6,1533,33.0,60.98882035139633,60.98882035139633
Carlos Eduardo,1989-10-17,CampeonatoBrasileiro,Cruzeiro,Right,Brazil,Att Mid / Wingers,823,0.22,0.11,0.33,0.22,0.0,0.11,0.11,0.0,0.19,0.1,0.05,0.15,1.2,4.48,3.17,1.09,0.55,50.0,0.2,0.4,18.9,0.11,0.09,0.03,0.12,31.6,38.17,82.8,545.14,156.6,15.09,17.5,86.3,12.36,14.22,86.9,3.28,4.48,73.2,0.08,1.42,4.26,0.77,0.22,36.09,1.86,0.44,0.33,0.33,1.2,0.44,0.55,0.0,0.55,0.0,0.22,0.55,2.84,2.3,0.11,0.0,0.22,0.22,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.55,0.33,0.33,0.22,0.0,0.22,0.87,25.0,0.66,0.44,0.11,1.09,1.64,0.55,0.0,44.51,0.66,4.37,28.1,12.25,1.75,44.4,0.98,0.44,44.4,0.44,44.4,27.23,121.17,54.24,1.2,0.0,1.09,0.55,33.68,0.0,1.42,1.09,0.11,0.0,0.0,0.0,2.3,0.98,1.64,37.5,1550,36.0,67.8862504937628,67.8862504937628
Marquinhos,2003-04-07,CampeonatoBrasileiro,Cruzeiro,Left,Brazil,Att Mid / Wingers,1270,0.0,0.07,0.07,0.0,0.0,0.0,0.14,0.0,0.06,0.06,0.16,0.23,4.04,2.55,8.36,1.98,0.64,32.1,0.0,0.0,23.5,0.14,0.03,-0.06,-0.06,35.29,46.35,76.1,520.65,122.88,20.83,24.09,86.5,10.56,14.1,74.9,2.27,3.83,59.3,0.09,1.28,1.28,0.99,0.57,42.09,4.25,0.64,0.0,0.85,4.25,3.54,0.07,0.0,0.07,0.0,0.0,1.84,2.91,2.06,0.0,0.14,0.28,0.35,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.84,0.92,0.78,0.92,0.14,1.13,1.77,64.0,0.64,1.49,0.0,0.78,2.62,1.2,0.0,61.94,1.56,12.26,24.02,26.5,2.41,61.94,4.46,1.49,33.3,2.48,55.6,36.57,231.8,116.79,2.55,1.2,3.12,2.13,44.86,0.0,1.35,2.62,0.07,0.07,0.0,0.0,3.69,1.13,1.77,39.0,1550,22.0,71.42553929121729,73.18628672728832
Lautaro Díaz,1998-05-21,CampeonatoBrasileiro,Cruzeiro,Right,Argentina,Att Mid / Wingers,959,0.09,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.21,0.21,0.06,0.26,1.41,1.41,6.94,1.69,0.66,38.9,0.06,0.14,14.9,0.0,0.12,-0.11,-0.11,13.61,20.46,66.5,165.55,41.76,8.16,11.45,71.3,3.66,5.63,65.0,0.38,0.66,57.1,0.08,1.22,1.03,0.56,0.0,19.8,0.56,0.0,0.09,0.0,0.94,0.09,0.09,0.0,0.0,0.0,0.09,0.84,2.44,1.97,0.0,0.28,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.75,0.09,0.38,0.38,0.19,0.56,33.3,0.38,0.19,0.0,0.28,1.13,0.94,0.0,30.97,0.56,2.53,12.48,16.05,3.94,30.97,2.44,0.38,15.4,2.06,84.6,16.61,76.96,32.85,1.13,0.66,2.63,0.75,22.52,0.0,1.31,0.28,0.19,0.0,0.0,0.0,2.35,2.16,2.82,43.4,1550,27.0,69.48689890343081,69.48689890343081
Ademir Santos,1995-02-16,CampeonatoBrasileiro,Bahia,Left,Brazil,Att Mid / Wingers,1131,0.24,0.32,0.56,0.24,0.0,0.0,0.0,0.0,0.29,0.29,0.22,0.51,5.25,2.31,11.7,2.31,1.03,44.8,0.1,0.23,16.0,0.0,0.13,-0.05,-0.05,25.46,33.82,75.3,395.41,88.73,14.08,16.39,85.9,8.51,11.62,73.3,1.83,3.02,60.5,0.17,1.59,1.51,1.19,0.64,31.75,1.99,0.24,0.08,0.16,4.3,1.03,0.48,0.08,0.4,0.0,0.08,1.27,3.82,2.71,0.08,0.48,0.32,0.24,0.0,0.64,0.4,0.0,0.08,0.16,0.0,0.0,2.39,1.67,0.56,0.88,0.95,0.8,2.63,30.3,1.83,0.8,0.0,0.64,3.02,0.4,0.0,48.22,0.4,4.85,17.59,27.14,5.25,48.22,5.01,2.15,42.9,2.39,47.6,33.02,268.09,144.19,2.07,2.07,2.55,1.03,34.93,0.0,1.27,2.15,0.56,0.0,0.0,0.0,4.62,0.56,2.07,21.2,1507,30.0,71.59562819478076,71.59562819478076
Cauly Oliveira Souza,1995-09-15,CampeonatoBrasileiro,Bahia,Right,Brazil,Att Mid / Wingers,2676,0.13,0.2,0.34,0.13,0.0,0.0,0.03,0.0,0.12,0.12,0.18,0.3,2.19,4.64,6.02,1.58,0.47,29.8,0.09,0.29,19.0,0.13,0.07,0.02,0.02,35.28,44.16,79.9,540.81,129.75,19.1,21.56,88.6,11.97,14.63,81.8,2.59,4.54,57.0,0.16,2.35,4.14,1.08,0.2,40.26,3.7,1.14,0.13,0.17,3.06,0.2,1.48,0.13,1.18,0.0,0.2,0.91,4.67,3.2,0.71,0.37,0.07,0.27,0.07,0.4,0.27,0.03,0.03,0.0,0.07,0.0,0.47,0.2,0.17,0.13,0.17,0.13,0.64,21.1,0.5,0.4,0.03,0.24,0.71,0.44,0.0,52.6,0.3,3.16,26.54,23.78,2.32,52.6,3.23,1.48,45.8,1.48,45.8,33.2,162.91,78.23,1.72,0.67,2.59,1.28,43.25,0.0,0.71,0.94,0.13,0.0,0.0,0.0,2.59,0.24,0.5,31.8,1507,30.0,71.44149717073545,71.44149717073545
Rodrigo Nestor,2000-08-09,CampeonatoBrasileiro,Bahia,Left,Brazil,Att Mid / Wingers,984,0.0,0.18,0.18,0.0,0.0,0.0,0.27,0.0,0.1,0.1,0.13,0.24,2.65,4.57,5.4,1.55,0.73,47.1,0.0,0.0,25.7,0.09,0.07,-0.1,-0.1,39.97,50.85,78.6,627.07,123.29,21.22,23.87,88.9,14.27,17.1,83.4,2.65,6.04,43.9,0.15,1.37,3.29,1.1,0.46,45.55,4.76,1.19,0.09,0.55,5.4,1.28,1.92,0.73,0.82,0.0,0.55,1.37,3.38,2.2,0.55,0.09,0.37,0.09,0.09,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.37,0.82,0.64,0.64,0.09,0.55,1.46,37.5,0.91,0.64,0.09,1.01,2.38,0.64,0.0,60.91,0.91,7.96,31.1,22.5,1.46,60.91,2.2,0.55,25.0,1.55,70.8,35.49,182.01,95.3,2.01,0.27,1.19,1.01,43.17,0.0,1.1,1.01,0.37,0.09,0.0,0.0,4.94,0.37,0.09,80.0,1507,25.0,70.20052308564168,70.20052308564168
Jhon Arias,1997-09-21,CampeonatoBrasileiro,Fluminense,Right,Colombia,Att Mid / Wingers,2376,0.27,0.11,0.38,0.27,0.0,0.08,0.23,0.0,0.25,0.19,0.13,0.32,3.56,3.48,8.14,2.2,0.91,41.4,0.12,0.29,17.6,0.15,0.09,0.01,0.07,39.73,47.23,84.1,525.19,120.68,25.61,27.12,94.4,10.23,11.7,87.4,1.55,4.02,38.7,0.12,1.78,3.03,0.72,0.23,43.14,3.94,0.98,0.04,0.04,4.58,0.98,1.97,0.76,1.06,0.0,0.15,1.33,4.05,2.73,0.53,0.19,0.23,0.27,0.11,0.27,0.19,0.0,0.0,0.04,0.0,0.04,1.89,1.06,0.72,0.61,0.57,1.02,1.86,55.1,0.83,1.36,0.08,0.49,2.39,0.49,0.0,60.95,0.68,7.54,25.87,28.48,3.41,60.87,4.85,1.97,40.6,2.35,48.4,37.95,216.74,108.75,2.58,0.53,2.27,2.23,46.48,0.0,1.21,2.35,0.23,0.0,0.0,0.0,5.08,0.61,1.21,33.3,1568,28.0,71.19387162116972,71.19387162116972
Agustín Canobbio,1998-10-01,CampeonatoBrasileiro,Fluminense,Right,Uruguay,Att Mid / Wingers,1215,0.3,0.07,0.37,0.3,0.0,0.0,0.44,0.07,0.26,0.26,0.19,0.44,3.48,4.22,10.07,2.52,1.11,44.1,0.12,0.27,17.0,0.0,0.1,0.04,0.04,24.37,31.85,76.5,355.63,97.48,14.3,16.37,87.3,8.0,10.37,77.1,1.11,2.44,45.5,0.13,1.7,2.22,1.78,0.37,29.78,2.0,0.52,0.07,0.15,2.67,1.11,0.37,0.0,0.07,0.07,0.07,1.33,3.41,2.52,0.22,0.15,0.22,0.3,0.0,0.15,0.07,0.0,0.07,0.0,0.0,0.0,2.22,1.41,0.44,1.48,0.3,0.96,2.3,41.9,1.33,1.63,0.0,0.3,2.52,0.59,0.0,45.7,0.3,4.22,18.15,24.15,4.07,45.7,3.26,1.19,36.4,1.48,45.5,30.22,187.93,87.63,2.52,0.67,2.89,2.15,31.33,0.07,1.26,1.85,0.52,0.0,0.0,0.0,5.26,0.52,0.52,50.0,1568,27.0,71.704468412943,71.704468412943
Ganso,1989-10-12,CampeonatoBrasileiro,Fluminense,Left,Brazil,Att Mid / Wingers,2247,0.12,0.28,0.4,0.12,0.0,0.04,0.48,0.04,0.1,0.07,0.16,0.23,0.64,6.89,3.36,0.64,0.32,50.0,0.19,0.38,23.7,0.12,0.12,0.02,0.05,56.07,64.97,86.3,784.97,278.81,34.29,37.25,92.0,15.94,18.54,86.0,2.96,4.73,62.7,0.14,2.4,6.29,1.32,0.28,58.72,6.13,3.16,0.2,0.0,3.04,1.16,1.8,0.68,0.68,0.0,0.12,0.72,4.13,3.0,0.96,0.0,0.08,0.04,0.04,0.4,0.36,0.04,0.0,0.0,0.0,0.0,1.36,0.92,0.56,0.64,0.16,0.48,1.2,40.0,0.72,0.6,0.08,0.56,1.92,0.48,0.04,70.45,0.92,11.82,37.77,21.31,0.68,70.41,0.88,0.6,68.2,0.28,31.8,41.38,142.23,61.24,0.92,0.0,1.16,0.84,54.63,0.0,0.76,1.48,0.08,0.0,0.0,0.0,3.81,0.4,0.8,33.3,1568,36.0,70.83736064897579,70.83736064897579
Keno,1989-09-10,CampeonatoBrasileiro,Fluminense,Right,Brazil,Att Mid / Wingers,1397,0.06,0.06,0.13,0.06,0.0,0.0,0.26,0.0,0.17,0.17,0.07,0.24,3.99,2.64,10.57,2.71,0.71,26.2,0.02,0.09,19.8,0.0,0.06,-0.11,-0.11,21.78,30.54,71.3,313.87,78.15,13.21,16.17,81.7,6.7,9.21,72.7,1.03,2.64,39.0,0.09,1.29,1.29,1.22,0.32,29.18,1.29,0.13,0.0,0.13,2.9,0.77,0.32,0.19,0.0,0.0,0.06,1.42,3.35,2.32,0.06,0.58,0.19,0.19,0.0,0.26,0.06,0.0,0.06,0.13,0.0,0.0,2.06,1.1,0.39,1.22,0.45,0.64,1.74,37.0,1.1,0.77,0.32,0.52,2.58,1.1,0.06,44.58,1.35,5.28,14.69,25.19,3.54,44.58,5.15,2.38,46.3,2.58,50.0,28.28,199.91,106.69,2.06,1.42,2.32,1.16,33.44,0.0,1.16,1.68,0.45,0.0,0.0,0.0,2.83,0.52,0.58,47.1,1568,36.0,69.53793626336,69.53793626336
Igor Coronado,1992-08-18,CampeonatoBrasileiro,Corinthians,Right,Brazil,Att Mid / Wingers,1378,0.07,0.13,0.2,0.07,0.0,0.0,0.39,0.0,0.07,0.07,0.26,0.33,4.7,7.45,5.88,2.35,0.52,22.2,0.03,0.13,26.8,0.52,0.03,-0.01,-0.01,41.67,56.63,73.6,751.15,251.71,19.01,21.88,86.9,15.61,19.79,78.9,5.62,10.19,55.1,0.27,2.74,5.81,2.22,0.78,49.96,6.27,2.61,0.46,0.98,6.92,1.05,2.61,0.59,1.89,0.0,0.39,1.96,5.16,3.4,1.05,0.07,0.13,0.39,0.13,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.16,1.18,0.85,0.78,0.52,1.11,2.35,47.2,1.24,1.76,0.26,0.65,2.81,0.85,0.0,71.45,1.05,9.08,36.64,26.58,1.57,71.45,5.09,1.96,38.5,2.74,53.8,43.82,278.82,150.67,3.92,0.59,3.0,2.16,52.71,0.0,1.57,2.02,0.0,0.0,0.0,0.0,3.79,0.2,0.91,17.6,1583,33.0,73.81120527306969,73.81120527306969
